ten_loai_sach,dinh_huong,lop,chu_de,loai,bai_hoc,muc_tieu,nang_luc_chinh,nang_luc_ho_tro,chi_muc_1,chi_muc_2,chi_muc_3,chi_muc_4,chi_muc_5,chi_muc_6,chi_muc_7
Kết nối tri thức với cuộc sống,,10,CHỦ ĐỀ 1. MÁY TÍNH VÀ XÃ HỘI TRI THỨC,Lý thuyết,Bài 1. Thông tin và xử lí thông tin,"Phân biệt được thông tin và dữ liệu.
Chuyển đổi giữa các đơn vị lưu trữ dữ liệu.
Nêu được sự ưu việt của việc lưu trữ, xử lí và truyền thông tin bằng thiết bị số.","Nla, Nle","NLb, NLc, NLd",Thông tin và dữ liệu,Đơn vị lưu trữ dữ liệu,"Lưu trữ, xử lí và truyền tin bằng thiết bị số",,,,
Kết nối tri thức với cuộc sống,,10,CHỦ ĐỀ 1. MÁY TÍNH VÀ XÃ HỘI TRI THỨC,Lý thuyết,Bài 2. Vai trò của thiết bị thông minh và tin học đối với xã hội,"Nhận biết được một số thiết bị thông minh thông dụng. Nêu được ví dụ cụ thể. Biết được vai trò của thiết bị thông minh trong xã hội và cuộc cách mạng công nghiệp lần thứ tư.
Biết vai trò của tin học đối với xã hội. Nêu được ví dụ. Biết các thành tựu nổi bật của ngành tin học.","Nla, Nle","NLb, NLc, NLd",Thiết bị thông minh,Các thành tựu của tin học,,,,,
Kết nối tri thức với cuộc sống,,10,CHỦ ĐỀ 1. MÁY TÍNH VÀ XÃ HỘI TRI THỨC,Lý thuyết,Bài 3. Một số kiểu dữ liệu và dữ liệu văn bản,"Nêu được các loại thông tin và các kiểu dữ liệu sẽ gặp trong chương trình tin học phổ thông.
Biết được các bảng mã thông dụng ASCII và Unicode.
Giải thích được sơ lược về việc số hoá văn bản.","Nla, Nle","NLb, NLc, NLd",Phân loại và biểu diễn thông tin trong máy tính,Biểu diễn dữ liệu văn bản,,,,,
Kết nối tri thức với cuộc sống,,10,CHỦ ĐỀ 1. MÁY TÍNH VÀ XÃ HỘI TRI THỨC,Lý thuyết,Bài 4. Hệ nhị phân và dữ liệu số nguyên,"Biết được hệ nhị phân và biểu diễn số nguyên trong máy tính.
Giải thích được ứng dụng của hệ nhị phân trong tin học.","NLa, NLe","NLb, NLc, NLd",Hệ nhị phân và biểu diễn số nguyên,Các phép tính số học trong hệ nhị phân,,,,,
Kết nối tri thức với cuộc sống,,10,CHỦ ĐỀ 1. MÁY TÍNH VÀ XÃ HỘI TRI THỨC,Lý thuyết,Bài 5. Dữ liệu lôgic,"Biết được giá trị chân lí và các phép toán lôgic AND, OR, NOT.
Biết được biểu diễn dữ liệu lôgic.","NLa, NLe","NLb, NLc, NLd",Các giá trị chân lí và các phép toán lôgic,Biểu diễn dữ liệu lôgic,,,,,
Kết nối tri thức với cuộc sống,,10,CHỦ ĐỀ 1. MÁY TÍNH VÀ XÃ HỘI TRI THỨC,Lý thuyết,Bài 6. Dữ liệu âm thanh và hình ảnh,"Giải thích được việc số hoá âm thanh.
Giải thích được việc số hoá hình ảnh.","NLa, NLe","NLb, NLc, NLd",Biểu diễn âm thanh,Biểu diễn hình ảnh,,,,,
Kết nối tri thức với cuộc sống,,10,CHỦ ĐỀ 1. MÁY TÍNH VÀ XÃ HỘI TRI THỨC,Thực hành,Bài 7. Thực hành sử dụng thiết bị số thông dụng,"Biết được thiết bị số cá nhân thông dụng thường có những gì.
Biết được một số tính năng tiêu biểu của thiết bị số cá nhân thông dụng.
Khai thác sử dụng một số ứng dụng và dữ liệu trên các thiết bị di động như máy tính bảng (tablet), điện thoại thông minh (smartphone).","NLa, NLe","NLb, NLc, NLd",Trợ thủ số cá nhân,Thực hành sử dụng thiết bị số cá nhân,,,,,
Kết nối tri thức với cuộc sống,,10,CHỦ ĐỀ 2. MẠNG MÁY TÍNH VÀ INTERNET,Lý thuyết,Bài 8. Mạng máy tính trong cuộc sống hiện đại,"Hiểu được sự khác biệt giữa mạng LAN và Internet.
Trình bày được những thay đổi về chất lượng cuộc sống, phương thức học tập và làm việc trong xã hội khi mạng máy tính được sử dụng rộng rãi.
Nêu được một số công nghệ dựa trên Internet như dịch vụ điện toán đám mây hay kết nối vạn vật (IoT).","NLa, NLb, NLe","NLc, NLd",Mạng LAN và Internet,Vai trò của Internet,Điện toán đám mây,Kết nối vạn vật,,,
Kết nối tri thức với cuộc sống,,10,CHỦ ĐỀ 2. MẠNG MÁY TÍNH VÀ INTERNET,Lý thuyết,Bài 9. An toàn trên không gian mạng,"Nêu được những nguy cơ và tác hại khi tham gia các hoạt động trên Internet một cách thiếu hiểu biết và bất cần. Trình bày được một số cách đề phòng những tác hại đó.
Nêu được một vài cách phòng vệ khi bị bắt nạt trên mạng. Biết cách bảo vệ dữ liệu cá nhân.
Trình bày được sơ lược về các phần mềm xấu (mã độc). Biết sử dụng một số công cụ để phòng chống phần mềm xấu.","NLa, NLb, NLe","NLc, NLd",Một số nguy cơ trên mạng,Phần mềm độc hại,,,,,
Kết nối tri thức với cuộc sống,,10,CHỦ ĐỀ 2. MẠNG MÁY TÍNH VÀ INTERNET,Thực hành,Bài 10. Thực hành khai thác tài nguyên trên Internet,"Khai thác được một số dịch vụ và tài nguyên trên Internet phục vụ học tập gồm: phần mềm dịch, kho học liệu mở.","NLa, NLb, NLe","NLc, NLd",Sử dụng phần mềm dịch đa ngữ của Google Translate để học ngoại ngữ,Khai thác một nguồn học liệu mở trên Internet để tìm các nguồn tài liệu phục vụ học tập,,,,,
