ten_ki_thuat,cach_tien_hanh,uu_diem,nhuoc_diem,bo_sung
Phillips xyz,"- B1: Giải thích luật và mã số.
- B2: Chia nhóm (X nhóm).
- B3: Đặt câu hỏi.
- B4: Thảo luận trong Y phút để đưa ra Z ý kiến.
- B5: Các nhóm báo cáo.
- B6: Ghi lại bình luận .","- Làm người học hoạt động, chia sẻ kinh nghiệm.
- Tạo không khí hợp tác.
- Sàng lọc ý kiến nhanh chóng .",- Nhưng nhấn mạnh Không được thảo luận quá lâu.,"- Bản chất là tổ chức như một trò chơi .
- Nguyên tắc: Nhanh, hiệu quả."
Tia chớp,"- B1: Nêu câu hỏi/vấn đề.
- B2: Các thành viên trả lời nhanh, ngắn gọn (1-2 câu) ý kiến hoặc cảm nghĩ của mình .","- Dễ thực hiện, tạo không khí tích cực.
- Thu nhận nhanh quan điểm của nhiều người.","- Khó kiểm soát lớp học, dễ dẫn đến nhốn nháo, quá khích.","- Thường dùng lúc bắt đầu (khởi động) hoặc kết thúc bài học .
- Không thảo luận, không phê phán ý kiến ngay lập tức."
Bể cá,"- B1: Một nhóm ngồi vòng tròn ở giữa (bể cá) để thảo luận.
- B2: Nhóm còn lại ngồi vòng ngoài quan sát, lắng nghe, ghi chép.
- B3: Sau thảo luận, mở rộng ra cả lớp hoặc đổi vai trò .","- Thảo luận sâu về chủ đề.
- Rèn luyện kỹ năng quan sát và lắng nghe.
- Tránh tranh cãi hỗn loạn khi lớp đông .",- Cần không gian phòng học đủ rộng và bố trí ghế ngồi phù hợp.,"- Thích hợp cho các chủ đề gây tranh cãi, có nhiều quan điểm khác nhau hoặc các tình huống ""khó xử""."
Động não,"- B1: Đưa ra vấn đề.
- B2: Các thành viên tự do đưa ra ý tưởng (càng nhiều càng tốt).
- B3: Ghi chép tất cả, không phê phán ngay.
- B4: Đánh giá, phân loại sau khi đã cạn ý tưởng .","- Dễ thực hiện, áp dụng mọi thời điểm, thời gian ngắn.
- Kích thích tư duy sáng tạo, tạo không khí dân chủ.","- Dễ bị loãng ý tưởng.
- Dễ phân hóa đối tượng HS (giữa tích cực và thụ động).","- Quy tắc vàng: Không phê phán ngay; khuyến khích ý tưởng ""điên rồ""; số lượng hơn chất lượng (ở giai đoạn đầu); kết hợp ý tưởng của người khác ."
Khăn trải bàn,"- B1: Chia nhóm 4-6 người, dùng giấy khổ lớn chia các ô xung quanh và 1 ô trung tâm.
- B2: Cá nhân viết ý kiến vào ô riêng của mình.
- B3: Thảo luận, thống nhất ý kiến chung ghi vào ô trung tâm .","- Tăng tính độc lập và trách nhiệm cá nhân.
- Huy động trí tuệ tập thể.
- Có bằng chứng ghi nhận kết quả cá nhân và nhóm .","- Tốn không gian và văn phòng phẩm (giấy A0, bút).
- Cần thời gian đủ để vừa làm cá nhân vừa thảo luận .",- Là sự kết hợp giữa hoạt động cá nhân và hoạt động nhóm.
KWL ,"- Cột K: Viết điều đã biết.
- Cột W: Viết điều muốn biết.
- Cột L: Viết điều đã học được (sau bài học).
- Cột H (nếu có): Cách thức tìm hiểu thêm.","- Phát triển năng lực tự chủ, tự học.
- Tạo hứng thú dựa trên nhu cầu nhận thức của HS.
- Hỗ trợ tự đánh giá .",- HS có thể gặp khó khăn khi diễn đạt điều đã biết/muốn biết rõ ràng.,- Cần lưu trữ bảng cẩn thận để đối chiếu trước và sau khi học.
Sơ đồ tư duy,"- Viết chủ đề ở trung tâm.
- Vẽ các nhánh chính (từ khóa in hoa) và nhánh phụ (chữ in thường).
- Sử dụng màu sắc, hình ảnh để liên kết .","- Kích thích sáng tạo, tư duy logic, ghi nhớ tốt.
- Phù hợp mọi đối tượng HS (kể cả thụ động/nhận thức thấp) .","- Cần chuẩn bị công cụ (giấy, bút màu, phần mềm).
- Với HS thụ động có thể mất nhiều thời gian hơn dự kiến.","- Dùng tốt để tổng hợp, ôn tập, ghi chú hoặc lập kế hoạch .
- Có thể vẽ tay hoặc dùng phần mềm."
Mảnh ghép,"- Vòng 1 (Chuyên gia): Nhóm tìm hiểu sâu 1 nội dung.
- Vòng 2 (Mảnh ghép): Trộn các thành viên để tạo nhóm mới, mỗi người dạy lại kiến thức mình đã tìm hiểu cho nhóm mới .","- Tạo hứng thú, mọi HS đều quan trọng.
- Kích thích HS thụ động trở nên tích cực .","- Tổ chức phức tạp, tốn thời gian, dễ mất ổn định lớp.
- Không hợp với bài có kiến thức xếp theo trình tự tiên quyết (phần trước cần cho phần sau).","- Thích hợp cho bài có các nội dung độc lập, tương đương nhau về độ khó."
Phòng tranh,"- HS/Nhóm giải quyết vấn đề viết lên giấy lớn và treo quanh lớp.
- Các nhóm di chuyển xem, nhận xét, bổ sung cho nhau (hoặc thuyết trình tại chỗ) .","- Khai thác tối đa ý tưởng.
- Thúc đẩy tư duy sáng tạo.","- Phạm vi áp dụng hẹp.
- Tốn nhiều thời gian.","- Phù hợp với nội dung mở, kích thích sự tích cực của HS thụ động ."
Công đoạn,"- Mỗi nhóm giải quyết một nội dung trên giấy.
- Luân chuyển giấy cho nhóm khác để đọc, nhận xét và bổ sung tiếp vào đó .","- HS tự hình thành kiến thức, thấy được mối liên quan giữa các nội dung.
- Thu nhận nhiều kiến thức trong 1 hoạt động .",- Không áp dụng được với lớp có tỷ lệ HS thụ động cao.,- Thích hợp cho bài lý thuyết thuật toán và thực hành.
