lop,chu_de_canh_dieu,chu_de_ket_noi_chi_thuc,yeu_cau_can_dat
10,CHỦ ĐỀ A: MÁY TÍNH VÀ XÃ HỘI TRI THỨC ,CHỦ ĐỀ 1. MÁY TÍNH VÀ XÃ HỘI TRI THỨC,"– Phân biệt được thông tin và dữ liệu, nêu được ví dụ minh hoạ. 
– Chuyển đổi được giữa các đơn vị lưu trữ thông tin: B, KB, MB,...
– Nêu được sự ưu việt của việc lưu trữ, xử lí và truyền thông tin bằng thiết bị số. 
– Trình bày được những đóng góp cơ bản của tin học đối với xã hội, nêu được ví dụ minh hoạ.
– Nêu được ví dụ cụ thể về thiết bị thông minh. Giải thích được vai trò của những thiết bị
thông minh đối với sự phát triển của xã hội và cuộc cách mạng công nghiệp 4.0. 
– Nhận biết được một vài thiết bị số thông dụng khác ngoài máy tính để bàn và laptop, giải 
thích được các thiết bị đó cũng là những hệ thống xử lí thông tin. 
– Giới thiệu được các thành tựu nổi bật ở một số mốc thời gian để minh hoạ sự phát triển của 
ngành tin học. 
– Khởi động được một số thiết bị số thông dụng, sử dụng được các tệp dữ liệu, các chức năng 
và phần mềm ứng dụng cơ bản cài sẵn trên các thiết bị đó
– Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị 
phân trong tin học. Giải thích được sơ lược việc số hoávăn bản, hình ảnh, âm thanh.
– Giải thích được sơ lược về chức năng của bảng mã chuẩn quốc tế (Ví dụ: Unicode). "
,CHỦ ĐỀ B. MẠNG MÁY TÍNH VÀ INTERNET ,CHỦ ĐỀ 2. MẠNG MÁY TÍNH VÀ INTERNET,"– Trình bày được những thay đổi về chất lượng cuộc sống, phương thức học tập và làm việc 
trong xã hội mà ở đó mạng máy tính được sử dụng phổ biến. 
– So sánh được mạng LAN và Internet.  
– Nêu được một số dịch vụ cụ thể mà Điện toán đám mây cung cấp cho người dùng. 
– Nêu được khái niệm Internet vạn vật (IoT). 
– Nêu được ví dụ cụ thể về thay đổi trong cuộc sống mà IoT đem lại. Phát biểu ý kiến cá nhân 
về ích lợicủa IoT.
– Sử dụng được một số chức năng xử lí thông tin trên máy PC và thiết bị số,ví dụ dịch tự động 
văn bản hay tiếng nói. 
 Khai thác được một số nguồn học liệu mở trên Internet. 
– Nêu được những nguy cơ và tác hại nếu tham gia các hoạt động trên Internet một cách bất 
cẩn và thiếu hiểu biết. Trình bày được một số cách đề phòng những tác hại đó. 
– Nêu được một vài cách phòng vệ khi bị bắt nạt trên mạng. 
– Biết cách tự bảo vệ dữ liệu của cá nhân.  
– Trình bày được sơ lược vềphần mềm độc hại. Sử dụng được một số công cụ thông dụng để 
ngăn ngừa và diệt phần mềm độc hại. "
,"CHỦ ĐỀ D. ĐẠO ĐỨC, PHÁP LUẬT VÀ VĂN HOÁ TRONG MÔI TRƯỜNG SỐ ","CHỦ ĐỀ 3. ĐẠO ĐỨC, PHÁP LUẬT VÀ VĂN HOÁ TRONG MÔI TRƯỜNG SỐ","– Nêu được một số vấn đề nảy sinh về pháp luật, đạo đức, văn hoá khi việc giao tiếp qua mạng 
trở nên phổ biến. 
– Nêu được ví dụ minh hoạ sự vi phạm bản quyền thông tin và sản phẩm số, qua ví dụ đó giải 
thích được sự vi phạm đã diễn ra thế nào và có thể dẫn tới hậu quả gì.  
– Trình bày và giải thích được một số nội dung cơ bản của Luật Công nghệ thông tin, Nghị 
định về quản lí, cung cấp, sử dụng các sản phẩm và dịch vụ Công nghệ thông tin, Luật An ninh 
mạng. Nêu được ví dụ minh hoạ. 
– Giải thích được một số khía cạnh pháp lí của vấn đề bản quyền, của việc sở hữu, sử dụng và 
trao đổi thông tin trong môi trường số. Nêu được ví dụ minh hoạ. 
– Vận dụng được Luật và Nghị định nêu trên để xác định được tính hợp pháp của một hành vi 
nào đótrong lĩnh vực quản lí, cung cấp, sử dụng các sản phẩm và dịch vụ Công nghệ thông tin. 
– Nêu được ví dụ về những tác hại của việc chia sẻ và phổ biến thông tin một cách bất cẩn. 
– Nêu được một vài biện pháp đơn giản và thông dụng để nâng cao tính an toàn và hợp pháp 
của việc chia sẻ thông tin trong môi trường số."
,CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH ,CHỦ ĐỀ 5. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH,"– Viết và thực hiện được một vài chương trình có sử dụng:hằng, biến, các cấu trúc điều khiển, 
các toán tử, các kiểu dữ liệu chuẩn và mảng, các câu lệnh vào – ra. Qua đó phát triển được năng lực giải quyết vấn đề và sáng tạo, rèn luyện được phẩm chất chăm chỉ,kiên trì và cẩn thận trong học và tự học.  
– Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.  
– Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.
 Đọc hiểu được chương trình đơn giản. 
– Kiểm thử và gỡ lỗi được chương trình. 
– Viết và thực hiện được chương trình giải quyết bài toán đơn giản có vận dụng kiến thức liên môn. 

"
,CHỦ ĐỀ G. HƯỚNG NGHIỆP VỚI TIN HỌC ,CHỦ ĐỀ 6. HƯỚNG NGHIỆP VỚI TIN HỌC,"– Trình bày được thông tin hướng nghiệp về nhóm nghề Thiết kế và Lập trình thông qua phân 
tích nghiệp vụ của một số nghề điển hình (Ví dụ: Thiết kế đồ hoạ, Thiết kế trò chơi máy tính, 
Lập trình viên, Phân tích thiết kế hệ thống,...): 
+ Những nét sơ lược về công việc chính mà người làm nghề phải thực hiện.  
+ Yêu cầu thiết yếu về kiến thức và kĩ năng cần có để làm nghề. 
+ Ngành học có liên quan ở các bậc học tiếp theo. 
+ Nhu cầu nhân lực hiện tại và tương lai của nhóm nghề đó. – Tự tìm kiếm và khai thác được thông tin hướng nghiệp (qua các chương trình đào tạo, thông 
báo tuyển dụng nhân lực,...) về một vài ngành nghề khác trong lĩnh vực tin học. – Giao lưu được với bạn bè qua các kênh truyền thông tin số để tham khảo và trao đổi ý kiến 
về những thông tin trên. 
"
,CHỦ ĐỀ A (CS). MÁY TÍNH VÀ XÃ HỘI TRI THỨC,,"– Thực hiện được các phép tính cơ bản AND, OR, NOT, giải thích được ứng dụng của hệ nhị 
phân trong tin học. Giải thích được sơ lược việc số hoávăn bản, hình ảnh, âm thanh.
– Giải thích được sơ lược về chức năng của bảng mã chuẩn quốc tế (Ví dụ: Unicode). "
,CHỦ ĐỀ E (ICT). ỨNG DỤNG TIN HỌC ,,"– Sử dụng được một số chức năng cơ bản của phần mềm thiết kế đồ hoạ.
– Tạo được sản phẩm số đơn giản, hữu ích và thực tế như thiết kế logo, tạo banner, topic 
quảng cáo, băng-rôn, áp phích, poster vàthiệp chúc mừng,… "
,,CHỦ ĐỀ 4. ỨNG DỤNG TIN HỌC,"– Sử dụng được một số chức năng cơ bản của phần mềm thiết kế đồ hoạ.
– Tạo được sản phẩm số đơn giản, hữu ích và thực tế như thiết kế logo, tạo banner, topic 
quảng cáo, băng-rôn, áp phích, poster vàthiệp chúc mừng,… "
11,CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC,CHỦ ĐỀ 1. MÁY TÍNH VÀ XÃ HỘI TRI THỨC,"– Trình bày được sơ lược lịch sử phát triển của hai hệ điều hành thông dụng cho PC, một hệ 
điều hành là phần mềm thương mại và hệ điều hành còn lại là phần mềm nguồn mở. Sử dụng 
được một số chức năng cơ bản của một trong hai hệ điều hành đó.  
– Trình bày được vài nét chính về một hệ điều hành thông dụng cho thiết bị di động và sử 
dụng được một số tiện ích cơ bản của hệ điều hành đó. 
– Trình bày được một cách khái quát mối quan hệ giữa phần cứng, hệ điều hành và phần mềm 
ứng dụng. Trình bày được vai trò riêng của mỗi thành phần trong hoạt động chung của cả hệ thống. 
– Trình bày được một số khái niệm có liên quan tới phần mềm nguồn mở: bản quyền phần mềm, giấy phép công cộng, phần mềm miễn phí. So sánh được phần mềm nguồn mở với phần mềm thương mại (nguồn đóng).Nêu được vai trò của phần mềm nguồn mở và phần mềm thương mại đối với sự phát triển của ICT. 
– Nêu được tên một số phần mềm soạn thảo văn bản, phần mềm bảng tínhvà phần mềm trình 
chiếu nguồn mở, chẳng hạn Writer, Calc và Impress trong bộ OpenOffice. 
– Sử dụng được một số tiện ích có sẵn của hệ điều hành để nâng cao hiệu suất sử dụng  
máy tính. 
– Kích hoạt và sử dụng được một vài chức năng cơ bản của một phần mềm soạn thảo văn bản, 
một phần mềm bảng tính và một phần mềm trình chiếu chạy trên Internet. Ví dụ cácphần mềm 
trong gói Google Docs.
– Nhận diện được hình dạng, mô tả được chức năng của các bộ phận chính bên trong thân máy 
tính như CPU, RAM và các thiết bị lưu trữ. Nêu được tên và giải thích được đơn vị đo hiệu 
năng của chúng như GHz, GB,...  
– Nhận biết được sơ đồ của các mạch logic AND, OR, NOT, giải thích được vai trò của các 
mạch logic đó trong thực hiện các tính toán nhị phân. 
– Tuỳ chỉnh được một vài chức năng cơ bản của máy tính và các thiết bị vào – ra thông dụng để phù hợp với nhu cầu sử dụng và đạt hiệu quả tốt hơn. 
– Đọc hiểu được một số điểm chính trong tài liệu hướng dẫn về thiết bị số thông dụng. Thực hiện được một số những chỉ dẫn trong tài liệu đó. 
– Đọc hiểu và giải thích được một số thông số cơ bản như kích thước màn hình, CPU, RAM, dung lượng lưu trữ, độ phân giải camera,... của các thiết bị số thông dụng.Ví dụ: PC, máy tính bảng, điện thoại thông minh, tivi có khả năng kết nối Internet,... 
– Biết được cách kết nối các bộ phận thân máy, bàn phím, chuột, màn hình của máy tính với nhau.
– Biết được cách kết nối PC với các thiết bị số thông dụng như máy in, điện thoại thông minh, 
máy ảnh số,... 


"
,"CHỦ ĐỀ C. TỔ CHỨC LƯU TRỮ, TÌM KIẾM VÀ TRAO ĐỔI THÔNG TIN","CHỦ ĐỀ 2. TỔ CHỨC LƯU TRỮ, TÌM KIẾM VÀ TRAO ĐỔI THÔNG TIN","– Sử dụng được một số công cụ trực tuyến như Google Driver hay Dropbox,... để lưu trữ và 
chia sẻ tệp tin.  
– Sử dụng được máy tìm kiếm, chẳng hạn máy tìm kiếm của Google, Yahoo, Bing,... trên PC 
và thiết bị số thông minhđể tìm kiếm thông tin bằng cách gõ từ khoá hoặc bằng tiếng nói. 
– Xác lập được các lựa chọn theo tiêu chí tìm kiếm để nâng cao hiệu quả tìm kiếm thông tin.  
– Sử dụng được những chức năng nâng cao của dịch vụ mạng xã hội.  
– Biết cách phân loại và đánh dấu các email. 
"
